Open,High,Low,Volume,Close,Date
65760.01,65794.44,65603.33,189.66981,65660.0,2024-06-20 14:00:00
65858.84,65927.48,65718.95,412.822,65760.01,2024-06-20 13:30:00
65854.02,65967.39,65788.24,398.04021,65858.84,2024-06-20 13:00:00
65465.24,65966.0,65465.23,724.55734,65854.01,2024-06-20 12:30:00
65541.62,65630.0,65386.0,247.83525,65465.24,2024-06-20 12:00:00
65513.93,65635.83,65472.65,570.5319,65541.63,2024-06-20 11:30:00
65360.87,65613.3,65360.0,462.23146,65513.93,2024-06-20 11:00:00
65306.01,65395.42,65252.0,335.76777,65360.88,2024-06-20 10:30:00
65156.5,65338.72,65140.81,279.02781,65306.01,2024-06-20 10:00:00
65190.0,65194.25,65070.91,200.49735,65156.49,2024-06-20 09:30:00
65152.74,65244.21,65139.73,230.0136,65189.99,2024-06-20 09:00:00
65197.45,65223.88,65092.0,146.16513,65152.74,2024-06-20 08:30:00
65152.01,65237.11,65090.0,199.13487,65197.45,2024-06-20 08:00:00
65158.57,65210.01,64960.0,428.60035,65152.0,2024-06-20 07:30:00
65269.74,65407.4,65056.3,431.71621,65158.56,2024-06-20 07:00:00
65098.0,65294.09,65033.02,285.30166,65269.74,2024-06-20 06:30:00
64900.51,65100.36,64866.23,446.23073,65098.01,2024-06-20 06:00:00
64974.37,65000.82,64818.72,596.96423,64900.5,2024-06-20 05:30:00
64913.44,64995.19,64816.58,157.3099,64974.37,2024-06-20 05:00:00
64836.01,64942.0,64805.01,122.80774,64913.44,2024-06-20 04:30:00
64985.99,64994.98,64836.0,153.84827,64836.01,2024-06-20 04:00:00
65004.38,65048.23,64936.01,151.45853,64986.0,2024-06-20 03:30:00
65045.99,65087.76,65001.17,134.35134,65004.38,2024-06-20 03:00:00
64874.76,65057.12,64836.98,218.97705,65046.0,2024-06-20 02:30:00
64857.02,64933.74,64735.39,209.48274,64874.76,2024-06-20 02:00:00
64882.02,64910.0,64666.0,381.46134,64857.02,2024-06-20 01:30:00
64842.46,64924.72,64791.76,200.39124,64882.01,2024-06-20 01:00:00
64973.0,64985.49,64818.34,246.85222,64842.45,2024-06-20 00:30:00
65072.76,65099.99,64964.06,272.32645,64973.0,2024-06-20 00:00:00
65083.99,65158.79,65050.0,192.60048,65072.77,2024-06-19 23:30:00
65177.01,65177.01,65044.18,260.70348,65083.99,2024-06-19 23:00:00
64922.26,65284.37,64894.25,612.83732,65177.01,2024-06-19 22:30:00
65074.23,65100.0,64899.01,340.97042,64922.26,2024-06-19 22:00:00
64921.99,65100.03,64807.35,460.6189,65074.24,2024-06-19 21:30:00
64950.69,64969.99,64756.28,547.72715,64922.0,2024-06-19 21:00:00
64952.02,65129.57,64910.32,250.78248,64950.69,2024-06-19 20:30:00
64899.99,65060.29,64832.57,472.27214,64952.02,2024-06-19 20:00:00
65090.22,65141.89,64854.0,750.53724,64900.0,2024-06-19 19:30:00
65176.0,65190.0,65054.0,267.98074,65090.22,2024-06-19 19:00:00
65192.21,65245.21,65120.0,312.29995,65176.0,2024-06-19 18:30:00
65132.02,65214.0,65036.01,276.23049,65192.21,2024-06-19 18:00:00
65210.0,65310.02,65030.48,352.86733,65132.02,2024-06-19 17:30:00
65460.0,65487.03,65000.0,1369.59663,65210.0,2024-06-19 17:00:00
65520.0,65544.0,65352.95,274.80384,65459.99,2024-06-19 16:30:00
65152.0,65520.0,65151.99,399.67882,65520.0,2024-06-19 16:00:00
65306.66,65340.0,65132.09,312.70906,65151.99,2024-06-19 15:30:00
65161.11,65306.66,65090.0,468.78661,65306.65,2024-06-19 15:00:00
65183.89,65270.0,65072.0,333.29589,65161.11,2024-06-19 14:30:00
65186.9,65245.34,65102.0,363.93298,65183.89,2024-06-19 14:00:00
65326.89,65356.0,65180.0,328.92129,65186.91,2024-06-19 13:30:00
65238.0,65365.62,65158.05,350.89108,65326.89,2024-06-19 13:00:00
65600.0,65656.24,65216.72,750.4836,65238.0,2024-06-19 12:30:00
65479.99,65600.0,65454.54,408.54952,65599.99,2024-06-19 12:00:00
65413.09,65549.38,65400.0,298.88679,65480.0,2024-06-19 11:30:00
65466.0,65557.13,65395.51,234.08152,65413.09,2024-06-19 11:00:00
65425.56,65533.23,65335.0,384.94782,65466.0,2024-06-19 10:30:00
65597.71,65620.0,65422.44,398.44795,65425.56,2024-06-19 10:00:00
65404.0,65727.54,65349.99,772.9208,65597.72,2024-06-19 09:30:00
65477.16,65603.91,65392.16,574.14504,65404.0,2024-06-19 09:00:00
65327.94,65571.58,65282.0,504.67521,65477.16,2024-06-19 08:30:00
65462.0,65489.43,65167.22,484.51157,65327.94,2024-06-19 08:00:00
65035.59,65476.84,65012.0,499.97057,65462.01,2024-06-19 07:30:00
